X(mm),Y(mm),Z(mm)
-7.022423911948089881e+01,-3.499402846331751959e+01,1.559509480972390634e+02
-7.019441102959282830e+01,-3.498965973603348090e+01,1.559514043254145008e+02
-7.016448550045716104e+01,-3.499031310038552789e+01,1.559517270124496804e+02
-7.013448169445757685e+01,-3.499516849918728667e+01,1.559519379273086486e+02
-7.010463346126195461e+01,-3.499167065820010691e+01,1.559523710348764496e+02
-7.007477888779401098e+01,-3.498868793959968571e+01,1.559527904034158041e+02
-7.004474200768142111e+01,-3.499511886088239265e+01,1.559529594524487379e+02
-7.001481849858352291e+01,-3.499555278759728338e+01,1.559532879999303532e+02
-6.998504202490258308e+01,-3.498832870945484075e+01,1.559538201970163414e+02
-6.995601599826581207e+01,-3.494117159439873888e+01,1.559554145198538038e+02
-6.992509876728659890e+01,-3.499447745551876920e+01,1.559543367984049382e+02
-6.989504558997101924e+01,-3.500184634820726615e+01,1.559544808844664772e+02
-6.986532568090997586e+01,-3.499138345072330480e+01,1.559550992755007996e+02
-6.983543683518354328e+01,-3.499001084893418323e+01,1.559554758643157015e+02
-6.980506771820942902e+01,-3.501413281842553715e+01,1.559551743701273381e+02
-6.977516144069343795e+01,-3.501343252878648826e+01,1.559555331315425235e+02
-6.974534862686293479e+01,-3.500798721497339727e+01,1.559560180507513962e+02
-6.971539933507311559e+01,-3.500970561478718679e+01,1.559563124529312290e+02
-6.968535797269132104e+01,-3.501642315605494105e+01,1.559564738682624068e+02
-6.965545931811317359e+01,-3.501542716104891184e+01,1.559568404712660197e+02
-6.962559411981429491e+01,-3.501238669157542915e+01,1.559572615089690544e+02
-6.959576832347434561e+01,-3.500757660854301179e+01,1.559577295443972957e+02
-6.956606453751906827e+01,-3.499599540011172394e+01,1.559583777355219070e+02
-6.953613933750979470e+01,-3.499639931196357168e+01,1.559587071069642548e+02
-6.950610534798991580e+01,-3.500244238249070605e+01,1.559588865219234890e+02
-6.947620251515908762e+01,-3.500172355641468158e+01,1.559592457411643522e+02
-6.944624184533661548e+01,-3.500391557178026147e+01,1.559595275744395622e+02
-6.941632522331993016e+01,-3.500355715331655659e+01,1.559598772874400652e+02
-6.938646649337637484e+01,-3.500025784300903098e+01,1.559603051914708658e+02
-6.935668476097445989e+01,-3.499279320988070197e+01,1.559608438979347511e+02
-6.932692911163520932e+01,-3.498389156856809024e+01,1.559614208359514862e+02
-6.929712604593662206e+01,-3.497741099119286190e+01,1.559619334011143792e+02
-6.926711442362058335e+01,-3.498227132242037385e+01,1.559621442725873237e+02
-6.923699973172963951e+01,-3.499270394580095456e+01,1.559622069153299435e+02
-6.920701798162203033e+01,-3.499581084661456742e+01,1.559624644589744662e+02
-6.917727358422449413e+01,-3.498627611591788877e+01,1.559630582430318952e+02
-6.914734255925053219e+01,-3.498663613708804832e+01,1.559633888574614105e+02
-6.911741961015832203e+01,-3.498669350983605142e+01,1.559637274944826402e+02
-6.908756292658763698e+01,-3.498308912232776180e+01,1.559641635547694989e+02
-6.905775026846046671e+01,-3.497691801135640333e+01,1.559646679317823157e+02
-6.902789247427756436e+01,-3.497337826153686535e+01,1.559651022716738282e+02
-6.899813932217416834e+01,-3.496409280328242630e+01,1.559656894719368267e+02
-6.896813038827974651e+01,-3.496862979786962455e+01,1.559659089819263613e+02
-6.893789425724199305e+01,-3.498536745528171110e+01,1.559658039589996577e+02
-6.890797787814676667e+01,-3.498478950683615096e+01,1.559661595551253868e+02
-6.887804389074993594e+01,-3.498530200897889131e+01,1.559664861150179149e+02
-6.884816500657090899e+01,-3.498269561152572749e+01,1.559668956702667799e+02
-6.881853097223944360e+01,-3.496674020040402553e+01,1.559676603465422033e+02
-6.878852534783179351e+01,-3.497094226497038960e+01,1.559678887988215195e+02
-6.875847258442784948e+01,-3.497796523383043166e+01,1.559680421548492859e+02
-6.872844402304860978e+01,-3.498331787010428684e+01,1.559682400195476362e+02
-6.869833038100227895e+01,-3.499354297640497435e+01,1.559683082141603734e+02
-6.866841685570362586e+01,-3.499263466637251696e+01,1.559686726352707353e+02
-6.863849893221605214e+01,-3.499208906795342955e+01,1.559690273816070487e+02
-6.860848465843881172e+01,-3.499658924607610544e+01,1.559692479394000770e+02
-6.857838683075091524e+01,-3.500583946981387129e+01,1.559693420921099403e+02
-6.854843107738643937e+01,-3.500730851226035867e+01,1.559696432533455379e+02
-6.851891165431013064e+01,-3.498495557239031939e+01,1.559705781528169553e+02
-6.848919802493438169e+01,-3.497322777661548088e+01,1.559712303860442262e+02
-6.845902808337092438e+01,-3.498622783698443328e+01,1.559712248205315177e+02
-6.842901078034225293e+01,-3.499092906877658038e+01,1.559714400222495385e+02
-6.839912081784930820e+01,-3.498869226865384974e+01,1.559718397940514478e+02
-6.836919653555872856e+01,-3.498819055838134773e+01,1.559721934359782551e+02
