X(mm),Y(mm),Z(mm)
-7.258539288683292057e+01,-3.503356691354920827e+01,1.559230455417264807e+02
-7.255543087401412095e+01,-3.503762460856736283e+01,1.559232773689499822e+02
-7.252523135548068467e+01,-3.505374092566629685e+01,1.559231885887476778e+02
-7.249541509952443619e+01,-3.505013529413361084e+01,1.559236242227922276e+02
-7.246565018873114639e+01,-3.504423845533154491e+01,1.559241207033988701e+02
-7.243566801534527144e+01,-3.504914615329841610e+01,1.559243299701209651e+02
-7.240567527498866696e+01,-3.505452734588356378e+01,1.559245266619603569e+02
-7.237573956854815549e+01,-3.505716236704990507e+01,1.559247963338756904e+02
-7.234591061957247859e+01,-3.505415029165000362e+01,1.559252161982005589e+02
-7.231593992544891591e+01,-3.505847369182895079e+01,1.559254410002124303e+02
-7.228594190854748547e+01,-3.506425218928896470e+01,1.559256270997725551e+02
-7.225606492313664830e+01,-3.506359829313546328e+01,1.559259842843138983e+02
-7.222632941688719654e+01,-3.505597146672974418e+01,1.559265268138761940e+02
-7.219633544796826641e+01,-3.506139662686230452e+01,1.559267223408546954e+02
-7.216646412425485835e+01,-3.506062491600891917e+01,1.559270826197984263e+02
-7.213682281121938900e+01,-3.504794441468181532e+01,1.559277595741924074e+02
-7.210694017589104021e+01,-3.504768773443473151e+01,1.559281061730845011e+02
-7.207705150345914547e+01,-3.504753499989464416e+01,1.559284500536878681e+02
-7.204718045550585259e+01,-3.504669164854746555e+01,1.559288122502722729e+02
-7.201732558527299943e+01,-3.504489900274889891e+01,1.559291997147720963e+02
-7.198747230149510301e+01,-3.504296545709538435e+01,1.559295909389465180e+02
-7.195749298294174423e+01,-3.504750377528902305e+01,1.559298100767701385e+02
-7.192735998351891169e+01,-3.506001759795179140e+01,1.559298171279562268e+02
-7.189747055867526626e+01,-3.505986719861756029e+01,1.559301609545033500e+02
-7.186778375937242913e+01,-3.504923981720607884e+01,1.559307833791634721e+02
-7.183790386308700704e+01,-3.504866439512387188e+01,1.559311384928039388e+02
-7.180801489551907935e+01,-3.504844005864752887e+01,1.559314842965043226e+02
-7.177829649072333495e+01,-3.503958412497611619e+01,1.559320595856293608e+02
-7.174848093008526462e+01,-3.503561331083967190e+01,1.559325050027940165e+02
-7.171864722590835584e+01,-3.503235389791962007e+01,1.559329315526212270e+02
-7.168860610277715750e+01,-3.503996431346443785e+01,1.559330690261016343e+02
-7.165862861147994067e+01,-3.504426482524955588e+01,1.559332945190541864e+02
-7.162864650568417346e+01,-3.504893490843796400e+01,1.559335101557718417e+02
-7.159881443120407596e+01,-3.504549996986776961e+01,1.559339413931450053e+02
-7.156892278445153011e+01,-3.504540727844977255e+01,1.559342836977266700e+02
-7.153901164162886062e+01,-3.504614150455351762e+01,1.559346040532032021e+02
-7.150910644001017147e+01,-3.504675792390707301e+01,1.559349274996915256e+02
-7.147896106684345341e+01,-3.505944541274184445e+01,1.559349300353290175e+02
-7.144890588872574710e+01,-3.506777891602837371e+01,1.559350482816606984e+02
-7.141914650143100118e+01,-3.506059979136209392e+01,1.559355790792405685e+02
-7.138927264633221625e+01,-3.505937071108093050e+01,1.559359516496365075e+02
